,all,pinch1,five,pinch2,grab,pinch3,three,ok,pinch4,nine,four,pinch5,love,point,tim,thumbUp,pinch,eight,pinky,six,ringPinky,zero,middleFinger,two,rock,fist,ring,middle,mean
17,2.6791362085493025,3.173649559145204,1.125487399100833,2.296388632152428,3.6253161466106154,2.867044085144504,2.11690389769009,2.8533830576323442,2.2542632367914677,3.0540663095408136,2.3898126319342334,4.331856872989279,2.077294983836279,2.519995431905521,1.819492766434712,2.8812683325062456,2.8222112654659397,2.217893245735794,2.159889485013013,2.59091019116253,3.1521554307522086,2.781585933495561,2.448555174988477,4.374301574916173,2.4031942200343783,2.896946578530421,2.4459930133201704,2.828311267601852,2.6854878046085586
18,2.455085860925012,2.242159227689647,1.7705777733678876,2.0858448594871732,2.2581170827811587,2.4279592479862573,1.9199229377980986,2.115311391388622,2.72651053030947,2.1494463564292117,2.0792500827890326,2.912730727397739,1.53706660518312,2.175757719822005,1.5316227022304092,2.849415419673399,2.5760263657825475,2.0885144016615356,2.3586186168511487,2.5629018396213326,2.3290258056428135,3.5541760172189756,2.5238850043610492,2.909834082159125,1.7787326081020258,5.200133165786933,2.5267622944350814,3.0139318472957615,2.4520086930833913
19,2.4849573707889396,2.368799362207417,1.5694373909115884,2.0155200706955134,3.3858110660810756,2.6997764213001774,2.050739101185884,2.2308998523188786,2.8832653540749797,2.6602532354438613,2.0760936029447037,3.218197265064201,1.4162447490475667,2.416587496482011,1.840159543211698,2.3596148964391546,2.3112329274708836,2.1494583448206277,2.170953834552727,3.499258278306458,2.4785447869771975,2.8745304717012448,2.551328831389108,2.900981407378026,1.9049804445187528,3.8220756259769346,2.477682165780827,3.298203968742438,2.5048381664823682
20,2.5166801192714257,2.775500486578995,1.4073180549069542,1.8661906177895407,3.8357437616866714,2.609918904242678,2.06720540842575,2.547069382144823,3.0192396284181364,2.5650841667487927,2.3082241986383245,3.6860128426936227,1.5441898326949168,2.5924355883401815,2.0611451574171373,2.609010884122242,1.9918081034834056,2.221422642831522,2.1993645102590387,3.9099108534609006,2.594395752890922,2.6986211209594053,2.8399706611461477,2.7957166628377017,1.8547077770679614,2.895872732931235,2.3608117078982733,2.859810440129569,2.5450630326201797
21,2.7686421565783492,3.195722940431123,1.411749424435249,1.7883582761421766,4.248788102818199,2.3108658926914316,2.7043640528288884,2.689008087054139,3.241079305852412,3.0389948359412173,2.778103800576655,4.545236368069239,1.726135974997966,2.895768800911419,2.3272378379997654,2.817997482838609,2.1199526741674486,2.228385057293348,2.3831599630182794,4.144607389091978,2.9958462966831108,2.7633728824148087,2.7900794230866803,3.3406620980401405,2.124615969452793,2.9785609421753443,2.457665643115367,2.8742915891602276,2.7748374485662226
five,1158.0,0.0,1108.0,16.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.888888888888886
thumbUp,2084.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1581.0,0.0,111.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,77.18518518518519
eight,1434.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1.0,13.0,0.0,0.0,1296.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.111111111111114
point,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,1279.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,4.0,0.0,0.0,0.0,50.148148148148145
pinch1,5164.0,1276.0,4.0,69.0,109.0,17.0,0.0,1360.0,5.0,64.0,2.0,90.0,10.0,12.0,1.0,4.0,0.0,70.0,7.0,14.0,85.0,1557.0,4.0,10.0,11.0,334.0,4.0,45.0,191.25925925925927
others,26812.0,301.0,34.0,882.0,1518.0,417.0,1832.0,133.0,1171.0,1774.0,1452.0,925.0,1269.0,300.0,1435.0,29.0,0.0,37.0,1914.0,1004.0,1713.0,200.0,854.0,1327.0,1983.0,1269.0,2123.0,916.0,993.0370370370371
